# column 0 is pixels, column 1 is signal
4.170000000000000000e+02,1.814479166666670196e+01
4.180000000000000000e+02,1.764305555555557348e+01
4.190000000000000000e+02,1.721458333333335489e+01
4.200000000000000000e+02,1.716354166666668490e+01
4.210000000000000000e+02,1.735798611111110645e+01
4.220000000000000000e+02,1.768888888888888999e+01
4.230000000000000000e+02,1.795069444444446205e+01
4.240000000000000000e+02,1.826423611111112066e+01
4.250000000000000000e+02,1.870868055555556353e+01
4.260000000000000000e+02,1.960416666666665364e+01
4.270000000000000000e+02,1.955590277777776365e+01
4.280000000000000000e+02,1.943229166666668206e+01
4.290000000000000000e+02,1.988958333333335204e+01
4.300000000000000000e+02,1.917118055555557277e+01
4.310000000000000000e+02,1.934861111111110432e+01
4.320000000000000000e+02,1.973229166666669343e+01
4.330000000000000000e+02,1.867152777777779349e+01
4.340000000000000000e+02,1.832812500000000000e+01
4.350000000000000000e+02,1.848715277777778709e+01
4.360000000000000000e+02,1.895833333333336057e+01
4.370000000000000000e+02,1.910451388888890634e+01
4.380000000000000000e+02,1.910937499999998579e+01
4.390000000000000000e+02,1.908402777777777004e+01
4.400000000000000000e+02,1.869652777777783115e+01
4.410000000000000000e+02,1.857291666666670338e+01
4.420000000000000000e+02,1.840277777777781409e+01
4.430000000000000000e+02,1.895763888888893334e+01
4.440000000000000000e+02,1.922326388888890136e+01
4.450000000000000000e+02,1.989062500000001066e+01
4.460000000000000000e+02,1.988125000000002984e+01
4.470000000000000000e+02,1.957743055555556211e+01
4.480000000000000000e+02,1.890833333333336341e+01
4.490000000000000000e+02,1.874201388888890207e+01
4.500000000000000000e+02,1.818784722222225270e+01
4.510000000000000000e+02,1.773020833333335844e+01
4.520000000000000000e+02,1.843402777777776436e+01
4.530000000000000000e+02,1.846458333333333357e+01
4.540000000000000000e+02,1.948402777777778283e+01
4.550000000000000000e+02,1.949236111111111924e+01
4.560000000000000000e+02,1.983923611111114127e+01
4.570000000000000000e+02,2.034826388888889070e+01
4.580000000000000000e+02,2.013506944444445068e+01
4.590000000000000000e+02,2.008541666666667425e+01
4.600000000000000000e+02,2.057951388888890065e+01
4.610000000000000000e+02,2.063298611111110858e+01
4.620000000000000000e+02,2.129305555555556495e+01
4.630000000000000000e+02,2.074722222222220225e+01
4.640000000000000000e+02,2.025034722222221717e+01
4.650000000000000000e+02,1.895590277777775867e+01
4.660000000000000000e+02,1.864131944444445921e+01
4.670000000000000000e+02,1.842812500000000853e+01
4.680000000000000000e+02,1.908333333333333570e+01
4.690000000000000000e+02,1.853576388888889426e+01
4.700000000000000000e+02,1.886701388888889497e+01
4.710000000000000000e+02,1.875694444444443576e+01
4.720000000000000000e+02,1.861770833333336483e+01
4.730000000000000000e+02,1.869062500000000782e+01
4.740000000000000000e+02,1.847916666666666075e+01
4.750000000000000000e+02,1.829236111111111285e+01
4.760000000000000000e+02,1.864305555555554150e+01
4.770000000000000000e+02,1.832604166666665790e+01
4.780000000000000000e+02,1.898229166666665790e+01
4.790000000000000000e+02,1.866805555555555074e+01
4.800000000000000000e+02,1.883819444444445779e+01
4.810000000000000000e+02,1.883506944444443576e+01
4.820000000000000000e+02,1.886944444444446134e+01
4.830000000000000000e+02,1.835486111111111285e+01
4.840000000000000000e+02,1.942916666666666359e+01
4.850000000000000000e+02,1.942187499999998934e+01
4.860000000000000000e+02,1.947708333333333997e+01
4.870000000000000000e+02,1.917534722222223920e+01
4.880000000000000000e+02,1.838368055555553937e+01
4.890000000000000000e+02,1.873854166666664867e+01
4.900000000000000000e+02,1.897361111111113630e+01
4.910000000000000000e+02,1.905659722222224062e+01
4.920000000000000000e+02,1.988437500000001279e+01
4.930000000000000000e+02,1.951388888888890349e+01
4.940000000000000000e+02,1.935868055555554790e+01
4.950000000000000000e+02,1.953368055555556637e+01
4.960000000000000000e+02,1.843055555555555713e+01
4.970000000000000000e+02,1.892951388888888786e+01
4.980000000000000000e+02,1.859479166666666572e+01
4.990000000000000000e+02,1.858923611111109864e+01
5.000000000000000000e+02,1.930069444444445992e+01
5.010000000000000000e+02,1.915347222222222712e+01
5.020000000000000000e+02,1.967916666666668846e+01
5.030000000000000000e+02,1.901909722222223209e+01
5.040000000000000000e+02,1.989965277777776365e+01
5.050000000000000000e+02,1.935972222222221006e+01
5.060000000000000000e+02,2.002986111111112777e+01
5.070000000000000000e+02,1.974687500000001350e+01
5.080000000000000000e+02,1.994618055555556424e+01
5.090000000000000000e+02,2.000243055555554150e+01
5.100000000000000000e+02,2.133923611111113061e+01
5.110000000000000000e+02,2.109062500000003837e+01
5.120000000000000000e+02,2.110381944444444358e+01
5.130000000000000000e+02,2.152118055555554577e+01
5.140000000000000000e+02,2.036805555555556069e+01
5.150000000000000000e+02,2.071249999999999147e+01
5.160000000000000000e+02,2.059444444444443079e+01
5.170000000000000000e+02,2.064374999999998650e+01
5.180000000000000000e+02,2.121979166666665861e+01
5.190000000000000000e+02,2.176423611111111711e+01
5.200000000000000000e+02,2.221145833333332931e+01
5.210000000000000000e+02,2.205486111111108372e+01
5.220000000000000000e+02,2.140486111111107803e+01
5.230000000000000000e+02,2.188229166666663161e+01
5.240000000000000000e+02,2.225555555555555287e+01
5.250000000000000000e+02,2.243333333333334778e+01
5.260000000000000000e+02,2.273680555555554506e+01
5.270000000000000000e+02,2.275625000000000142e+01
5.280000000000000000e+02,2.379062500000000213e+01
5.290000000000000000e+02,2.324027777777777359e+01
